,time,wheel freq,motor current,motor rpm,motor torque,bamocar dc voltage,pack current,pack voltage,tractive voltage,left thermistor,right thermistor,middle thermistor,motor temperature,igbt temperature,pack power,real torque,motor power (w),controller efficiency
174691,371.07433,92.96309661865234,86.0,309.0,9153.824194952816,479.0,5.511263073859227,510.26618877976864,508.5614901828344,38.329677136454855,37.479409815020496,36.94540046070325,35.4667,33.35258120034587,2026.3754071790029,52.46,1697.5218912554017,0.8377134292300699
174692,371.07466,92.96309661865234,86.0,309.0,9147.99390774621,479.0,5.534141118537947,510.2484465954773,508.56310291122224,38.38670726167656,37.45089475240964,36.9168853980924,35.4667,33.35258120034587,2026.3754071790029,52.46,1697.5218912554017,0.8377134292300699
174693,371.07723,92.96309661865234,86.0,309.0,9102.588337685473,479.0,5.712312557388398,510.1102726147929,508.575662644424,38.83085096413309,37.228822901181374,36.69481354686414,35.4667,33.35258120034587,2026.3754071790029,52.46,1697.5218912554017,0.8377134292300699
174694,371.08134,87.2013931274414,86.0,309.0,9029.97476066158,479.0,5.997248204735608,509.8893017740854,508.59574844343547,38.74184940508021,37.228822901181374,36.69481354686414,35.4667,33.35258120034587,2026.3754071790029,52.46,1697.5218912554017,0.8377134292300699
174695,371.08298,87.2013931274414,86.0,309.0,9001.0,479.0,6.110945154041951,509.80112849458175,508.6037632148172,38.91898843038057,36.874544850580655,36.28739090695824,35.4667,33.35258120034587,2026.3754071790029,52.46,1697.5218912554017,0.8377134292300699
174696,371.08546,87.2013931274414,85.8930573523074,311.2457956015446,8933.091418715198,479.0,6.2828771261622,509.6677932914311,508.615883113004,39.186857200344576,36.33880731065265,35.67128837832556,35.4667,33.351280561216335,2026.3754071790029,52.46,1709.8593902745183,0.8438018859767357
174697,371.08892,87.2013931274414,85.74385510996322,314.37904269077234,8838.347994826647,479.0,6.522749958231348,509.48176917735935,508.63279232579686,39.11211317259713,37.87105379975935,37.27829105461159,35.4667,33.34946595985014,2026.3754071790029,52.46,1727.072191325251,0.8522962651474222
174698,371.08958,87.2013931274414,85.7153945666239,314.97671410089816,8820.275549806174,479.0,6.568506047588791,509.4462848087768,508.6360177825726,39.0978556412917,38.163332031806,37.58482913739287,35.4667,33.349119822017265,2026.3754071790029,52.46,1730.3555579998983,0.8539165802494586
174699,371.09308,87.2013931274414,85.56446744286477,318.1461836998398,8724.43682621913,479.0,6.81115197598335,509.2581101269116,508.6531224775943,37.88812571242676,37.18042646460324,36.71532960101952,35.4667,33.34728424260059,2026.3754071790029,52.46,1747.7673509703575,0.8625091603354451
174700,371.09318,87.2013931274414,85.5601552393274,318.2367399741247,8721.698576972896,479.0,6.818084716796875,509.252733707428,508.6536111831665,37.853562000162256,37.15234344838832,36.69048675711507,35.4667,33.34723179747438,3468.043412551488,52.46,1748.2648307696752,0.5041069625721474
174701,371.0937,87.2013931274414,85.53773178094039,318.7076326002517,8707.459680897151,479.0,6.799600557010786,509.2577459531401,508.65862342887857,37.67383069644574,37.00631176411865,36.56130396885429,35.4667,33.34695908281819,3468.043412551488,52.46,1750.8517257252784,0.5048528860361503
174702,371.09781,87.2013931274414,85.36050021561185,322.429495472151,8594.917636913528,479.0,6.653504601778001,509.2973619721338,508.6982394478723,39.49835541759909,36.650305527907165,36.07180263349403,35.4667,33.344803588131754,3468.043412551488,52.46,1771.298145470585,0.5107485503381909
